trial,N,mapType,density,seed,diag,heuristicUI,deceptiveMaze,algo,algoHeuristic,runtimeMs,nodesExpanded,peakFrontier,pathLength,found,optimal
18,64,Maze,0,18018,0,Manhattan,1,Dijkstra,None,0.3272,1884,10,406,1,1
18,64,Maze,0,18018,0,Manhattan,1,Greedy,Manhattan,0.1260,735,9,406,1,1
18,64,Maze,0,18018,0,Manhattan,1,A*,WallAware,0.3940,1789,12,406,1,1
18,64,Maze,0,18018,0,Manhattan,1,BiA*,WallAware,0.3967,914,10,406,1,1
19,64,Maze,0,19019,0,Manhattan,1,BFS,None,0.3371,1918,7,763,1,1
19,64,Maze,0,19019,0,Manhattan,1,Dijkstra,None,0.3553,1919,6,763,1,1
19,64,Maze,0,19019,0,Manhattan,1,Greedy,Manhattan,0.2403,1231,12,763,1,1
19,64,Maze,0,19019,0,Manhattan,1,A*,WallAware,0.4381,1838,8,763,1,1
19,64,Maze,0,19019,0,Manhattan,1,BiA*,WallAware,0.3790,1342,8,763,1,1
20,64,Maze,0,20020,0,Manhattan,1,BFS,None,0.2448,1921,11,502,1,1
20,64,Maze,0,20020,0,Manhattan,1,Dijkstra,None,0.3165,1921,10,502,1,1
20,64,Maze,0,20020,0,Manhattan,1,Greedy,Manhattan,0.4142,1757,11,502,1,1
20,64,Maze,0,20020,0,Manhattan,1,A*,WallAware,0.4188,1921,15,502,1,1
20,64,Maze,0,20020,0,Manhattan,1,BiA*,WallAware,0.3050,1096,13,502,1,1
21,64,Maze,0,21021,0,Manhattan,1,BFS,None,0.2644,1904,6,900,1,1
21,64,Maze,0,21021,0,Manhattan,1,Dijkstra,None,0.3225,1904,5,900,1,1
21,64,Maze,0,21021,0,Manhattan,1,Greedy,Manhattan,0.3665,1721,9,900,1,1
21,64,Maze,0,21021,0,Manhattan,1,A*,WallAware,0.4473,1808,6,900,1,1
21,64,Maze,0,21021,0,Manhattan,1,BiA*,WallAware,0.6693,1918,12,900,1,1
22,64,Maze,0,22022,0,Manhattan,1,BFS,None,0.2647,1908,12,454,1,1
22,64,Maze,0,22022,0,Manhattan,1,Dijkstra,None,0.4701,1908,11,454,1,1
22,64,Maze,0,22022,0,Manhattan,1,Greedy,Manhattan,0.1299,667,11,454,1,1
22,64,Maze,0,22022,0,Manhattan,1,A*,WallAware,0.4318,1874,11,454,1,1
22,64,Maze,0,22022,0,Manhattan,1,BiA*,WallAware,0.2576,951,13,454,1,1
23,64,Maze,0,23023,0,Manhattan,1,BFS,None,0.2412,1921,10,870,1,1
23,64,Maze,0,23023,0,Manhattan,1,Dijkstra,None,0.3006,1921,9,870,1,1
23,64,Maze,0,23023,0,Manhattan,1,Greedy,Manhattan,0.6641,1772,9,870,1,1
23,64,Maze,0,23023,0,Manhattan,1,A*,WallAware,0.4519,1921,9,870,1,1
23,64,Maze,0,23023,0,Manhattan,1,BiA*,WallAware,0.4452,1818,14,870,1,1
24,64,Maze,0,24024,0,Manhattan,1,BFS,None,0.2491,1888,8,816,1,1
24,64,Maze,0,24024,0,Manhattan,1,Dijkstra,None,0.3098,1887,8,816,1,1
24,64,Maze,0,24024,0,Manhattan,1,Greedy,Manhattan,0.3141,1685,14,816,1,1
24,64,Maze,0,24024,0,Manhattan,1,A*,WallAware,0.3909,1815,9,816,1,1
24,64,Maze,0,24024,0,Manhattan,1,BiA*,WallAware,0.4632,1664,12,816,1,1
25,64,Maze,0,25025,0,Manhattan,1,BFS,None,0.2427,1921,9,844,1,1
25,64,Maze,0,25025,0,Manhattan,1,Dijkstra,None,0.3703,1921,8,844,1,1
25,64,Maze,0,25025,0,Manhattan,1,Greedy,Manhattan,0.3272,1912,11,844,1,1
25,64,Maze,0,25025,0,Manhattan,1,A*,WallAware,0.4611,1921,7,844,1,1
25,64,Maze,0,25025,0,Manhattan,1,BiA*,WallAware,0.5079,1892,11,844,1,1
26,64,Maze,0,26026,0,Manhattan,1,BFS,None,0.3045,1921,11,534,1,1
26,64,Maze,0,26026,0,Manhattan,1,Dijkstra,None,0.3278,1921,10,534,1,1
26,64,Maze,0,26026,0,Manhattan,1,Greedy,Manhattan,0.1583,996,8,534,1,1
26,64,Maze,0,26026,0,Manhattan,1,A*,WallAware,0.4771,1920,13,534,1,1
26,64,Maze,0,26026,0,Manhattan,1,BiA*,WallAware,0.2405,1086,13,534,1,1
27,64,Maze,0,27027,0,Manhattan,1,BFS,None,0.2451,1921,7,840,1,1
27,64,Maze,0,27027,0,Manhattan,1,Dijkstra,None,0.3097,1921,6,840,1,1
27,64,Maze,0,27027,0,Manhattan,1,Greedy,Manhattan,0.3058,1846,6,840,1,1
27,64,Maze,0,27027,0,Manhattan,1,A*,WallAware,0.4791,1921,11,840,1,1
27,64,Maze,0,27027,0,Manhattan,1,BiA*,WallAware,0.3851,1818,11,840,1,1
28,64,Maze,0,28028,0,Manhattan,1,BFS,None,0.3000,1921,8,688,1,1
28,64,Maze,0,28028,0,Manhattan,1,Dijkstra,None,0.3428,1921,8,688,1,1
28,64,Maze,0,28028,0,Manhattan,1,Greedy,Manhattan,0.2023,1034,10,688,1,1
28,64,Maze,0,28028,0,Manhattan,1,A*,WallAware,0.4304,1899,10,688,1,1
28,64,Maze,0,28028,0,Manhattan,1,BiA*,WallAware,0.3363,1260,9,688,1,1
29,64,Maze,0,29029,0,Manhattan,1,BFS,None,0.3651,1901,8,912,1,1
29,64,Maze,0,29029,0,Manhattan,1,Dijkstra,None,0.3070,1901,7,912,1,1
29,64,Maze,0,29029,0,Manhattan,1,Greedy,Manhattan,0.3402,1813,10,912,1,1
29,64,Maze,0,29029,0,Manhattan,1,A*,WallAware,0.3861,1873,8,912,1,1
29,64,Maze,0,29029,0,Manhattan,1,BiA*,WallAware,0.4485,1922,15,912,1,1
30,64,Maze,0,30030,0,Manhattan,1,BFS,None,0.2793,1921,7,1002,1,1
30,64,Maze,0,30030,0,Manhattan,1,Dijkstra,None,0.3580,1921,6,1002,1,1
