trial,N,mapType,density,seed,diag,heuristicUI,deceptiveMaze,algo,algoHeuristic,runtimeMs,nodesExpanded,peakFrontier,pathLength,found,optimal
31,64,Random,0.2,31001,0,WallAware,0,BFS,None,0.4625,3252,60,127,1,1
31,64,Random,0.2,31001,0,WallAware,0,Dijkstra,None,0.7721,3252,68,127,1,1
31,64,Random,0.2,31001,0,WallAware,0,Greedy,WallAware,0.0933,152,142,141,1,0
31,64,Random,0.2,31001,0,WallAware,0,A*,WallAware,0.5643,1100,314,127,1,1
31,64,Random,0.2,31001,0,WallAware,0,BiA*,WallAware,0.1794,280,161,127,1,1
32,64,Random,0.2,32002,0,WallAware,0,BFS,None,0.4304,3273,63,127,1,1
32,64,Random,0.2,32002,0,WallAware,0,Dijkstra,None,0.7509,3273,70,127,1,1
32,64,Random,0.2,32002,0,WallAware,0,Greedy,WallAware,0.0890,142,152,131,1,0
32,64,Random,0.2,32002,0,WallAware,0,A*,WallAware,0.5669,1338,372,127,1,1
32,64,Random,0.2,32002,0,WallAware,0,BiA*,WallAware,0.1053,296,199,127,1,1
33,64,Random,0.2,33003,0,WallAware,0,BFS,None,0.4486,3302,67,127,1,1
33,64,Random,0.2,33003,0,WallAware,0,Dijkstra,None,0.6759,3302,74,127,1,1
33,64,Random,0.2,33003,0,WallAware,0,Greedy,WallAware,0.0987,152,156,133,1,0
33,64,Random,0.2,33003,0,WallAware,0,A*,WallAware,0.4818,1449,340,127,1,1
33,64,Random,0.2,33003,0,WallAware,0,BiA*,WallAware,0.3793,879,352,129,1,0
34,64,Random,0.2,34004,0,WallAware,0,BFS,None,0.5074,3287,62,127,1,1
34,64,Random,0.2,34004,0,WallAware,0,Dijkstra,None,0.6325,3287,70,127,1,1
34,64,Random,0.2,34004,0,WallAware,0,Greedy,WallAware,0.0656,141,146,133,1,0
34,64,Random,0.2,34004,0,WallAware,0,A*,WallAware,0.2342,725,255,127,1,1
34,64,Random,0.2,34004,0,WallAware,0,BiA*,WallAware,0.1848,477,275,127,1,1
35,64,Random,0.2,35005,0,WallAware,0,BFS,None,1.0500,3268,60,127,1,1
35,64,Random,0.2,35005,0,WallAware,0,Dijkstra,None,0.6551,3268,63,127,1,1
35,64,Random,0.2,35005,0,WallAware,0,Greedy,WallAware,0.0931,157,183,141,1,0
35,64,Random,0.2,35005,0,WallAware,0,A*,WallAware,0.2744,826,392,127,1,1
35,64,Random,0.2,35005,0,WallAware,0,BiA*,WallAware,0.1198,365,249,127,1,1
36,64,Random,0.2,36006,0,WallAware,0,BFS,None,0.6849,3280,60,127,1,1
36,64,Random,0.2,36006,0,WallAware,0,Dijkstra,None,0.7477,3280,67,127,1,1
36,64,Random,0.2,36006,0,WallAware,0,Greedy,WallAware,0.1023,147,153,135,1,0
36,64,Random,0.2,36006,0,WallAware,0,A*,WallAware,0.3198,748,246,127,1,1
36,64,Random,0.2,36006,0,WallAware,0,BiA*,WallAware,0.4095,873,308,127,1,1
37,64,Random,0.2,37007,0,WallAware,0,BFS,None,0.6222,3236,65,127,1,1
37,64,Random,0.2,37007,0,WallAware,0,Dijkstra,None,0.6140,3236,72,127,1,1
37,64,Random,0.2,37007,0,WallAware,0,Greedy,WallAware,0.0788,141,143,127,1,1
37,64,Random,0.2,37007,0,WallAware,0,A*,WallAware,0.4752,1028,318,127,1,1
37,64,Random,0.2,37007,0,WallAware,0,BiA*,WallAware,0.2283,529,252,127,1,1
38,64,Random,0.2,38008,0,WallAware,0,BFS,None,0.4727,3294,58,127,1,1
38,64,Random,0.2,38008,0,WallAware,0,Dijkstra,None,0.6964,3294,66,127,1,1
38,64,Random,0.2,38008,0,WallAware,0,Greedy,WallAware,0.0699,145,146,135,1,0
38,64,Random,0.2,38008,0,WallAware,0,A*,WallAware,0.7013,1816,402,127,1,1
38,64,Random,0.2,38008,0,WallAware,0,BiA*,WallAware,0.4749,1233,545,127,1,1
39,64,Random,0.2,39009,0,WallAware,0,BFS,None,0.4660,3215,61,127,1,1
39,64,Random,0.2,39009,0,WallAware,0,Dijkstra,None,0.6235,3215,68,127,1,1
39,64,Random,0.2,39009,0,WallAware,0,Greedy,WallAware,0.0831,154,152,139,1,0
39,64,Random,0.2,39009,0,WallAware,0,A*,WallAware,0.1684,547,250,127,1,1
39,64,Random,0.2,39009,0,WallAware,0,BiA*,WallAware,0.1525,494,203,127,1,1
40,64,Random,0.35,40000,0,Manhattan,0,BFS,None,0.3335,2405,61,141,1,1
40,64,Random,0.35,40000,0,Manhattan,0,Dijkstra,None,0.5168,2409,60,141,1,1
40,64,Random,0.35,40000,0,Manhattan,0,Greedy,Manhattan,0.0783,250,118,179,1,0
40,64,Random,0.35,40000,0,Manhattan,0,A*,Manhattan,0.1860,888,88,141,1,1
40,64,Random,0.35,40000,0,Manhattan,0,BiA*,Manhattan,0.2473,1080,157,141,1,1
41,64,Random,0.35,41001,0,Manhattan,0,BFS,None,0.4041,2537,46,147,1,1
41,64,Random,0.35,41001,0,Manhattan,0,Dijkstra,None,0.5200,2543,44,147,1,1
41,64,Random,0.35,41001,0,Manhattan,0,Greedy,Manhattan,0.0865,260,109,161,1,0
41,64,Random,0.35,41001,0,Manhattan,0,A*,Manhattan,0.2965,1011,68,147,1,1
41,64,Random,0.35,41001,0,Manhattan,0,BiA*,Manhattan,0.2387,945,76,147,1,1
42,64,Random,0.35,42002,0,Manhattan,0,BFS,None,0.4588,2279,53,139,1,1
42,64,Random,0.35,42002,0,Manhattan,0,Dijkstra,None,0.5030,2279,55,139,1,1
42,64,Random,0.35,42002,0,Manhattan,0,Greedy,Manhattan,0.0946,289,109,171,1,0
42,64,Random,0.35,42002,0,Manhattan,0,A*,Manhattan,0.2212,970,81,139,1,1
42,64,Random,0.35,42002,0,Manhattan,0,BiA*,Manhattan,0.2083,808,130,139,1,1
43,64,Random,0.35,43003,0,Manhattan,0,BFS,None,0.3607,2364,48,141,1,1
43,64,Random,0.35,43003,0,Manhattan,0,Dijkstra,None,0.4836,2365,48,141,1,1
43,64,Random,0.35,43003,0,Manhattan,0,Greedy,Manhattan,0.1203,384,121,195,1,0
43,64,Random,0.35,43003,0,Manhattan,0,A*,Manhattan,0.3598,1447,87,141,1,1
43,64,Random,0.35,43003,0,Manhattan,0,BiA*,Manhattan,0.1600,618,92,141,1,1
44,64,Random,0.35,44004,0,Manhattan,0,BFS,None,0.3491,2067,37,133,1,1
44,64,Random,0.35,44004,0,Manhattan,0,Dijkstra,None,0.4688,2082,38,133,1,1
44,64,Random,0.35,44004,0,Manhattan,0,Greedy,Manhattan,0.0590,181,102,141,1,0
44,64,Random,0.35,44004,0,Manhattan,0,A*,Manhattan,0.1402,619,64,133,1,1
44,64,Random,0.35,44004,0,Manhattan,0,BiA*,Manhattan,0.1251,568,81,133,1,1
45,64,Random,0.35,45005,0,Manhattan,0,BFS,None,0.3367,2382,47,137,1,1
45,64,Random,0.35,45005,0,Manhattan,0,Dijkstra,None,0.4548,2373,47,137,1,1
45,64,Random,0.35,45005,0,Manhattan,0,Greedy,Manhattan,0.1348,416,112,167,1,0
45,64,Random,0.35,45005,0,Manhattan,0,A*,Manhattan,0.1916,913,119,137,1,1
45,64,Random,0.35,45005,0,Manhattan,0,BiA*,Manhattan,0.4275,974,136,137,1,1
46,64,Random,0.35,46006,0,Manhattan,0,BFS,None,0.3615,2032,35,191,1,1
46,64,Random,0.35,46006,0,Manhattan,0,Dijkstra,None,0.5044,2032,37,191,1,1
46,64,Random,0.35,46006,0,Manhattan,0,Greedy,Manhattan,0.1934,479,126,221,1,0
46,64,Random,0.35,46006,0,Manhattan,0,A*,Manhattan,0.3104,1276,48,191,1,1
46,64,Random,0.35,46006,0,Manhattan,0,BiA*,Manhattan,0.3532,1390,90,191,1,1
47,64,Random,0.35,47007,0,Manhattan,0,BFS,None,0.3927,2326,44,141,1,1
47,64,Random,0.35,47007,0,Manhattan,0,Dijkstra,None,0.6508,2324,46,141,1,1
47,64,Random,0.35,47007,0,Manhattan,0,Greedy,Manhattan,0.1035,296,111,189,1,0
47,64,Random,0.35,47007,0,Manhattan,0,A*,Manhattan,0.2335,950,111,141,1,1
47,64,Random,0.35,47007,0,Manhattan,0,BiA*,Manhattan,0.2045,796,92,141,1,1
48,64,Random,0.35,48008,0,Manhattan,0,BFS,None,0.4058,2479,60,133,1,1
48,64,Random,0.35,48008,0,Manhattan,0,Dijkstra,None,0.5950,2479,62,133,1,1
48,64,Random,0.35,48008,0,Manhattan,0,Greedy,Manhattan,0.1449,303,112,199,1,0
48,64,Random,0.35,48008,0,Manhattan,0,A*,Manhattan,0.3558,1039,111,133,1,1
48,64,Random,0.35,48008,0,Manhattan,0,BiA*,Manhattan,0.1156,470,92,133,1,1
49,64,Random,0.35,49009,0,Manhattan,0,BFS,None,0.2606,2003,36,137,1,1
49,64,Random,0.35,49009,0,Manhattan,0,Dijkstra,None,0.3601,2007,43,137,1,1
49,64,Random,0.35,49009,0,Manhattan,0,Greedy,Manhattan,0.1349,434,114,225,1,0
49,64,Random,0.35,49009,0,Manhattan,0,A*,Manhattan,0.2697,1160,102,137,1,1
49,64,Random,0.35,49009,0,Manhattan,0,BiA*,Manhattan,0.2891,1199,139,137,1,1
50,64,Random,0.35,50000,0,Chebyshev,0,BFS,None,0.4755,2283,43,141,1,1
50,64,Random,0.35,50000,0,Chebyshev,0,Dijkstra,None,0.4618,2280,42,141,1,1
50,64,Random,0.35,50000,0,Chebyshev,0,Greedy,Chebyshev,0.1037,272,101,159,1,0
50,64,Random,0.35,50000,0,Chebyshev,0,A*,Chebyshev,0.3684,1568,61,141,1,1
50,64,Random,0.35,50000,0,Chebyshev,0,BiA*,Chebyshev,0.3048,1237,52,141,1,1
51,64,Random,0.35,51001,0,Chebyshev,0,BFS,None,0.3417,2419,42,143,1,1
51,64,Random,0.35,51001,0,Chebyshev,0,Dijkstra,None,0.4708,2418,42,143,1,1
51,64,Random,0.35,51001,0,Chebyshev,0,Greedy,Chebyshev,0.1504,495,102,205,1,0
51,64,Random,0.35,51001,0,Chebyshev,0,A*,Chebyshev,0.4254,1677,60,143,1,1
51,64,Random,0.35,51001,0,Chebyshev,0,BiA*,Chebyshev,0.3767,1157,55,143,1,1
52,64,Random,0.35,52002,0,Chebyshev,0,BFS,None,0.3647,2502,53,127,1,1
52,64,Random,0.35,52002,0,Chebyshev,0,Dijkstra,None,0.4793,2503,55,127,1,1
52,64,Random,0.35,52002,0,Chebyshev,0,Greedy,Chebyshev,0.0560,169,97,133,1,0
52,64,Random,0.35,52002,0,Chebyshev,0,A*,Chebyshev,0.3454,1564,68,127,1,1
52,64,Random,0.35,52002,0,Chebyshev,0,BiA*,Chebyshev,0.1995,865,71,127,1,1
53,64,Random,0.35,53003,0,Chebyshev,0,BFS,None,0.3507,2555,39,141,1,1
53,64,Random,0.35,53003,0,Chebyshev,0,Dijkstra,None,0.5505,2556,38,141,1,1
53,64,Random,0.35,53003,0,Chebyshev,0,Greedy,Chebyshev,0.2493,631,108,205,1,0
53,64,Random,0.35,53003,0,Chebyshev,0,A*,Chebyshev,0.4794,1988,63,141,1,1
53,64,Random,0.35,53003,0,Chebyshev,0,BiA*,Chebyshev,0.3863,1601,81,143,1,0
54,64,Random,0.35,54004,0,Chebyshev,0,BFS,None,0.4228,2565,52,141,1,1
54,64,Random,0.35,54004,0,Chebyshev,0,Dijkstra,None,0.6808,2565,50,141,1,1
54,64,Random,0.35,54004,0,Chebyshev,0,Greedy,Chebyshev,0.1112,300,110,179,1,0
54,64,Random,0.35,54004,0,Chebyshev,0,A*,Chebyshev,0.5414,2312,70,141,1,1
54,64,Random,0.35,54004,0,Chebyshev,0,BiA*,Chebyshev,0.2933,1274,91,149,1,0
55,64,Random,0.35,55005,0,Chebyshev,0,BFS,None,0.3639,2627,44,131,1,1
55,64,Random,0.35,55005,0,Chebyshev,0,Dijkstra,None,0.6170,2627,50,131,1,1
55,64,Random,0.35,55005,0,Chebyshev,0,Greedy,Chebyshev,0.0717,200,107,143,1,0
55,64,Random,0.35,55005,0,Chebyshev,0,A*,Chebyshev,0.3655,1726,61,131,1,1
55,64,Random,0.35,55005,0,Chebyshev,0,BiA*,Chebyshev,0.2420,1059,74,131,1,1
56,64,Random,0.35,56006,0,Chebyshev,0,BFS,None,0.3638,2434,59,137,1,1
